,date,id,name,room_type_category,rate,latitude,longitude,daily_price,total_price
672,2024-08-20,2598991,Copa do mundo - 1km do Maracanã,entire_home,,-22.90704,-43.23946,R$1.484 por noite,Total de R$1.484
673,2024-08-20,1070417580332662928,Loft elegante na Gávea: Casas Pellegrino,entire_home,"5,0 (3)",-22.975353616050896,-43.234507680687095,R$1.498 por noite,Total de R$1.598
674,2024-08-20,764296573646615028,O melhor lugar para o carnaval,entire_home,,-22.95524,-43.17956,R$1.494 por noite,Total de R$1.494
675,2024-08-20,38781575,Lindo em Copacabana.,entire_home,"4,53 (15)",-22.97896,-43.19036,R$1.519 por noite,Total de R$1.769
676,2024-08-20,1033878226795248919,"Ipanema Prime, atrás do Country.",entire_home,,-22.9845859,-43.2131097,R$1.522 por noite,Total de R$1.792
677,2024-08-20,8151310,condo melo,entire_home,"4,67 (3)",-22.98297,-43.19793,R$1.574 por noite,Total de R$1.574
678,2024-08-20,11047074,Ótimo apartamento renovado a 1 quarteirão da praia!,entire_home,,-22.98204,-43.1922,R$1.574 por noite,Total de R$1.574
679,2024-08-20,594147389552142846,CASA DO TRADER!!! 1,entire_home,,-22.96193,-43.17594,R$1.548 por noite,Total de R$1.598
680,2024-08-20,20181642,Casas Spot Rio D038,entire_home,"4,63 (46)",-22.96606,-43.17816,R$1.613 por noite,Total de R$1.763
681,2024-08-20,9198768,"Condomínio Joa 505, vista parcial para o mar",entire_home,,-22.98575,-43.19063,R$1.707 por noite,Total de R$2.518
682,2024-08-20,2577888,Aconchegante Apartamento 2 quartos,entire_home,,-22.95896,-43.20437,R$1.680 por noite,Total de R$1.860
683,2024-08-20,1217711733224696084,Luxo em Copacabana,entire_home,Novo,-22.9656427,-43.1765949,R$1.712 por noite,Total de R$1.712
684,2024-08-20,5268389,apto  Ipanema entre o mar e a Lagoa,entire_home,"5,0 (15)",-22.98101,-43.20094,R$1.712 por noite,Total de R$1.712
685,2024-08-20,8570531,Copa Beach,entire_home,,-22.96568,-43.18657,R$1.712 por noite,Total de R$1.712
686,2024-08-20,1047157543400224115,Aluguel de apartamento amplo,entire_home,,-22.9818682,-43.1909218,R$1.712 por noite,Total de R$1.712
687,2024-08-20,843320150208869460,Morada Palace - Maior Réveillon!,entire_home,,-22.96353,-43.18198,R$1.712 por noite,Total de R$1.712
688,2024-08-20,523207324218806564,Apartamento no coração do Leblon,entire_home,,-22.9843,-43.22168,R$1.712 por noite,Total de R$1.712
689,2024-08-20,979709858504796747,Cobertura duplex no topo do  Rio -,entire_home,,-22.93371,-43.20206,R$1.712 por noite,Total de R$1.712
690,2024-08-20,2923997,Apartamento de luxo Leblon ,entire_home,,-22.98448,-43.22947,R$1.712 por noite,Total de R$1.712
691,2024-08-20,1784769,"luxuoso 2suites,serviço e vista para o mar!",entire_home,,-22.99651,-43.25947,R$1.712 por noite,Total de R$1.712
692,2024-08-20,2671491,Temporada para COPA 2014,entire_home,,-22.92718,-43.17799,R$1.712 por noite,Total de R$1.712
693,2024-08-20,2694633,Oportunidade para World Cup 2014,entire_home,,-22.91478,-43.23291,R$1.712 por noite,Total de R$1.712
694,2024-08-20,2553383,Loft para a Copa do Mundo,entire_home,,-22.87797,-43.26266,R$1.712 por noite,Total de R$1.712
695,2024-08-20,2615212,aluguel de apto para a Copa - 2014,entire_home,,-22.91403,-43.23085,R$1.712 por noite,Total de R$1.712
696,2024-08-20,13727398,Maravilhoso apartamento em São Conrado,entire_home,,-22.99676,-43.25695,R$1.712 por noite,Total de R$1.712
697,2024-08-20,627331513466961140,Apto endereco errado,entire_home,,-22.95024,-43.18113,R$1.716 por noite,Total de R$1.746
698,2024-08-20,40259489,Luxuoso  3 suítes na Quadra da Praia de Copacabana,entire_home,,-22.97306,-43.18547,R$1.747 por noite,Total de R$1.997
699,2024-08-20,47316855,Alugo um espaço tranquilo para passar o dia .,entire_home,,-22.92501,-43.23954,R$1.754 por noite,Total de R$2.054
700,2024-08-20,1213068019945956260,"The Claridge Leblon, flat com serviços",entire_home,Novo,-22.98535099720886,-43.226564303040504,R$1.769 por noite,Total de R$1.769
701,2024-08-20,7290147,"Apto 3 quartos, 2 minutos andando até a praia T011",entire_home,"4,53 (40)",-22.96965,-43.18379,R$1.774 por noite,Total de R$2.024
702,2024-08-20,13509445,ALUGO EXCELENTE APTO EM IPANEMA!,entire_home,,-22.98505,-43.19424,R$1.818 por noite,Total de R$2.568
703,2024-08-20,1146314491801839256,Flat Copacabana,entire_home,,-22.9716,-43.18842,R$1.826 por noite,Total de R$1.826
704,2024-08-20,1192676533185212513,LiveRio Casa inteira para 15,entire_home,Novo,-22.98226,-43.20037,"R$1.826 por noite, originalmente R$2.226",Total de R$1.826
705,2024-08-20,1141890604354841075,Solar Mariano,entire_home,,-22.92142,-43.18851,R$1.826 por noite,Total de R$1.826
706,2024-08-20,25760679,Passeio de Lancha no Rio de Janeiro,entire_home,,-22.9538,-43.17329,R$1.847 por noite,Total de R$1.997
707,2024-08-20,1152160224313061228,Cobertura em Ipanema com vista para mar | Vsc1 Z1,entire_home,"4,33 (3)",-22.986927066582922,-43.208268428433485,"R$1.854 por noite, originalmente R$2.096",Total de R$2.554
708,2024-08-20,3358198,Condomínio Copa 1002,entire_home,,-22.97992,-43.18995,R$1.888 por noite,Total de R$1.888
709,2024-08-20,2416701,Apto 3 qtos predio antigo charmoso ,entire_home,,-22.93927,-43.19169,R$1.888 por noite,Total de R$1.888
710,2024-08-20,10560766,Apartamento inteiro para 4 pessoas.,entire_home,,-22.91483,-43.1811,R$1.888 por noite,Total de R$1.888
711,2024-08-20,1163688785873250265,(1402) A 150 Metros da Praia do Leblon com Piscina,entire_home,"5,0 (7)",-22.983412141604706,-43.22327281294103,R$1.928 por noite,Total de R$1.928
712,2024-08-20,1072304787392399025,Flat em Ipanema,entire_home,,-22.980390180914032,-43.20295516401529,"R$1.952 por noite, originalmente R$2.372",Total de R$2.202
713,2024-08-20,740491446174422898,Casa 3 andares bem localizada com churrasqueira,entire_home,,-22.91644,-43.23617,R$1.968 por noite,Total de R$2.168
714,2024-08-20,12310358,APARTAMENTO NA LAGOA - EXCELENTE,entire_home,,-22.96169,-43.20381,R$2.033 por noite,Total de R$2.033
715,2024-08-20,1202905376447841679,Joá 13 pessoas,entire_home,Novo,-22.99809,-43.27518,R$4.221 por noite,Total de R$4.221
716,2024-08-20,2730327,"Vista para o lago, confortável, com serviço",entire_home,,-22.97599,-43.19684,R$4.720 por noite,Total de R$4.720
717,2024-08-20,2196809,LOFT Duplex - (Copa do Mundo do Brasil),entire_home,,-22.99593,-43.26055,R$4.720 por noite,Total de R$4.720
718,2024-08-20,2692189,,entire_home,,-22.91282,-43.21808,R$4.720 por noite,Total de R$4.720
719,2024-08-20,1197867482314821540,yacht 49 feet rio de janeiro,entire_home,Novo,-22.92090913631302,-43.170425321026336,R$6.847 por noite,Total de R$6.847
720,2024-08-20,21190077,Mansão Ocean View -25 pessoas- 10 Suítes Master-,entire_home,,-22.9965,-43.2737,R$12.000 por noite,Total de R$12.000
