,id,name,room_type_category,rate,latitude,longitude,address,neighbourhood,regionName,city,daily_price,total_price
237,1197291349439617166,Copacabana Beach!,entire_home,0,-22.966202644687492,-43.192133872782264,Rua Santa Clara,Copacabana,Região Sudeste,Rio de Janeiro,560,560
238,9192648,Condo visco 501,entire_home,0,-22.98472,-43.20946,Rua Garcia d'Ávila,Ipanema,Região Sudeste,Rio de Janeiro,574,574
239,9748445,condo melo 101,entire_home,0,-22.98366,-43.19753,Rua Barão da Torre,Ipanema,Região Sudeste,Rio de Janeiro,574,574
240,646360579738934457,Maravilhosa de Copa,entire_home,0,-22.97329,-43.1867,Rua Domingos Ferreira,Copacabana,Região Sudeste,Rio de Janeiro,560,710
241,651375635621983538,OCEAN COPA,entire_home,0,-22.9798,-43.19047,Rua Almirante Gonçalves,Copacabana,Região Sudeste,Rio de Janeiro,560,710
242,844098274143174571,Cobertura c/ Varanda a 300m da Praia | LM 82/C01,entire_home,"4,89",-22.974404015055566,-43.191850808478904,Rua Barão de Ipanema,Copacabana,Região Sudeste,Rio de Janeiro,570,790
243,1169523898887581146,alugo apartamento rock in rio,entire_home,0,-22.96964,-43.18547,Avenida Nossa Senhora de Copacabana,Copacabana,Região Sudeste,Rio de Janeiro,569,719
244,51492579,Flat no Forte de Copacabana,entire_home,"4,95",-22.98686,-43.19015,João Saldanha,Ipanema,Região Sudeste,Rio de Janeiro,571,571
245,902851690775164465,Apartamento VistaRio,entire_home,"4,82",-22.90335514705016,-43.1346488319329,Rua Engenheiro Roberto Velasco Cardoso,Gragoatá,Região Sudeste,Niterói,571,661
246,1080431850391670589,Melhor localização de Copacabana,entire_home,0,-22.975636915163243,-43.193018920719624,Rua Bolívar,Copacabana,Região Sudeste,Rio de Janeiro,571,571
247,45563869,Apartamento aconchegante praia DA Barra,entire_home,0,-23.01517,-43.29836,,Barra da Tijuca,Região Sudeste,Rio de Janeiro,571,571
248,989384710982678388,Cidade maravilhosa Leme -Rj,entire_home,0,-22.9632949,-43.17187819999999,Rua Gustavo Sampaio,Leme,Região Sudeste,Rio de Janeiro,571,571
249,3023016,NOVO APTO EXCELENTE LOCALIZAÇÃO,entire_home,"4,75",-22.96272,-43.16624,Calçadão do Leme,Leme,Região Sudeste,Rio de Janeiro,571,571
250,4750172,AP no Jardim Botânico ,entire_home,0,-22.95782,-43.20285,Rua Aiuru,Humaitá,Região Sudeste,Rio de Janeiro,571,571
251,11297933,Apartamento 3km do estádio Maracanã,entire_home,0,-22.90205,-43.25128,Rua São João,Rocha,Região Sudeste,Rio de Janeiro,571,571
252,681269140290020397,Novissímo Estúdio em Ipanema próximo à Praia,entire_home,"4,96",-22.9828,-43.1998,Rua Nascimento Silva,Ipanema,Região Sudeste,Rio de Janeiro,579,799
253,1111504460391368913,Apartamento Vista Ponte,entire_home,"5,0",-22.90221719423956,-43.13470892798871,Rua Coronel Tamarindo,Gragoatá,Região Sudeste,Niterói,578,668
254,1021099784380360498,Bonito e Confortável (acesso para Corcovado),entire_home,"5,0",-22.942638074665734,-43.19260495219968,Rua Professor Ortiz Monteiro,Laranjeiras,Região Sudeste,Rio de Janeiro,585,685
